Date,Ward_1_Cases,Ward_1_Cases_3D_Avg,Ward_1_Cases_1W_Avg,Ward_1_Cases_2W_Avg,Ward_2_Cases,Ward_2_Cases_3D_Avg,Ward_2_Cases_1W_Avg,Ward_2_Cases_2W_Avg,Ward_3_Cases,Ward_3_Cases_3D_Avg,Ward_3_Cases_1W_Avg,Ward_3_Cases_2W_Avg,Ward_4_Cases,Ward_4_Cases_3D_Avg,Ward_4_Cases_1W_Avg,Ward_4_Cases_2W_Avg,Ward_5_Cases,Ward_5_Cases_3D_Avg,Ward_5_Cases_1W_Avg,Ward_5_Cases_2W_Avg,Ward_6_Cases,Ward_6_Cases_3D_Avg,Ward_6_Cases_1W_Avg,Ward_6_Cases_2W_Avg,Ward_7_Cases,Ward_7_Cases_3D_Avg,Ward_7_Cases_1W_Avg,Ward_7_Cases_2W_Avg,Ward_8_Cases,Ward_8_Cases_3D_Avg,Ward_8_Cases_1W_Avg,Ward_8_Cases_2W_Avg
2020-06-07,1335.0,1322.6666666666667,1292.0,1247.2142857142858,528.0,527.3333333333334,522.4285714285714,516.7857142857143,438.0,436.6666666666667,430.0,422.2857142857143,1964.0,1954.0,1915.0,1859.2142857142858,1433.0,1427.0,1407.5714285714287,1372.857142857143,798.0,793.3333333333334,778.8571428571429,756.2142857142857,1351.0,1343.6666666666667,1324.142857142857,1282.857142857143,1379.0,1366.6666666666667,1331.2857142857142,1271.857142857143
2020-06-08,1343.0,1332.6666666666667,1306.2857142857142,1259.857142857143,532.0,529.3333333333334,525.0,518.5,443.0,439.3333333333333,433.2857142857143,424.64285714285717,1984.0,1967.6666666666667,1933.857142857143,1875.2857142857142,1442.0,1434.3333333333333,1416.5714285714287,1382.7857142857142,805.0,799.3333333333334,785.5714285714286,763.0714285714286,1363.0,1353.0,1333.4285714285713,1294.9285714285713,1394.0,1380.0,1347.857142857143,1288.857142857143
2020-06-09,1352.0,1343.3333333333333,1321.857142857143,1272.2857142857142,533.0,531.0,527.7142857142857,520.2142857142857,446.0,442.3333333333333,437.0,427.14285714285717,1999.0,1982.3333333333333,1954.857142857143,1891.5714285714287,1447.0,1440.6666666666667,1426.2857142857142,1392.2142857142858,817.0,806.6666666666666,794.0,770.5,1371.0,1361.6666666666667,1343.857142857143,1306.857142857143,1402.0,1391.6666666666667,1365.5714285714287,1305.142857142857
2020-06-10,1354.0,1349.6666666666667,1331.2857142857142,1284.142857142857,535.0,533.3333333333334,529.5714285714286,521.9285714285714,452.0,447.0,440.42857142857144,429.92857142857144,2009.0,1997.3333333333333,1968.5714285714287,1907.5714285714287,1457.0,1448.6666666666667,1434.4285714285713,1401.5,821.0,814.3333333333334,800.7142857142857,777.5714285714286,1375.0,1369.6666666666667,1352.142857142857,1318.0,1413.0,1403.0,1378.4285714285713,1321.0
2020-06-11,1372.0,1359.3333333333333,1341.2857142857142,1296.5714285714287,537.0,535.0,531.2857142857143,523.7142857142857,453.0,450.3333333333333,443.42857142857144,432.57142857142856,2019.0,2009.0,1981.857142857143,1923.5714285714287,1468.0,1457.3333333333333,1442.142857142857,1411.2857142857142,828.0,822.0,807.2857142857143,784.6428571428571,1383.0,1376.3333333333333,1360.4285714285713,1329.357142857143,1421.0,1412.0,1390.0,1337.0714285714287
2020-06-12,1384.0,1370.0,1351.4285714285713,1308.2142857142858,538.0,536.6666666666666,533.0,525.5714285714286,454.0,453.0,446.14285714285717,435.2857142857143,2031.0,2019.6666666666667,1994.4285714285713,1938.0714285714287,1471.0,1465.3333333333333,1449.4285714285713,1419.857142857143,833.0,827.3333333333334,813.8571428571429,790.5714285714286,1395.0,1384.3333333333333,1369.0,1338.357142857143,1427.0,1420.3333333333333,1400.4285714285713,1350.2857142857142
2020-06-13,1390.0,1382.0,1361.4285714285713,1319.7142857142858,542.0,539.0,535.0,527.7142857142857,454.0,453.6666666666667,448.57142857142856,437.92857142857144,2047.0,2032.3333333333333,2007.5714285714287,1952.857142857143,1477.0,1472.0,1456.4285714285713,1427.9285714285713,835.0,832.0,819.5714285714286,796.2857142857143,1407.0,1395.0,1377.857142857143,1347.0714285714287,1440.0,1429.3333333333333,1410.857142857143,1363.2142857142858
2020-06-14,1395.0,1389.6666666666667,1370.0,1331.0,545.0,541.6666666666666,537.4285714285714,529.9285714285714,455.0,454.3333333333333,451.0,440.5,2052.0,2043.3333333333333,2020.142857142857,1967.5714285714287,1481.0,1476.3333333333333,1463.2857142857142,1435.4285714285713,839.0,835.6666666666666,825.4285714285714,802.1428571428571,1409.0,1403.6666666666667,1386.142857142857,1355.142857142857,1448.0,1438.3333333333333,1420.7142857142858,1376.0
2020-06-15,1400.0,1395.0,1378.142857142857,1342.2142857142858,549.0,545.3333333333334,539.8571428571429,532.4285714285714,455.0,454.6666666666667,452.7142857142857,443.0,2064.0,2054.3333333333335,2031.5714285714287,1982.7142857142858,1486.0,1481.3333333333333,1469.5714285714287,1443.0714285714287,843.0,839.0,830.8571428571429,808.2142857142857,1413.0,1409.6666666666667,1393.2857142857142,1363.357142857143,1450.0,1446.0,1428.7142857142858,1388.2857142857142
2020-06-16,1403.0,1399.3333333333333,1385.4285714285713,1353.642857142857,550.0,548.0,542.2857142857143,535.0,457.0,455.6666666666667,454.2857142857143,445.64285714285717,2072.0,2062.6666666666665,2042.0,1998.4285714285713,1489.0,1485.3333333333333,1475.5714285714287,1450.9285714285713,848.0,843.3333333333334,835.2857142857143,814.6428571428571,1415.0,1412.3333333333333,1399.5714285714287,1371.7142857142858,1454.0,1450.6666666666667,1436.142857142857,1400.857142857143
